GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Exercice du cours,maven_cours,MathTools,0,33,0,8,0,10,0,6,0,2
Exercice du cours,maven_cours,RandomTab,29,22,0,2,6,5,1,2,1,1
